"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2016","10","1","Slim by Design: Mindless Eating Solutions for Everyday Life","Brian Wansink","Health & Fitness, Nonfiction, Sociology","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","VIDEODISC","2016","10","7","Trollflöjten [videorecording] = The magic flute / Janus Films ; [presented by] Carmen F. Zollo ; [écrit et réalisé par Ingmar Bergman] ; Sveriges Radio AB.",,"Operas, Feature films","Criterion Collection,","[2000]"
"Digital","OverDrive","EBOOK","2016","10","1","Great Expectations","Charles Dickens","Classic Literature, Fiction","Penguin Group (USA), Inc.","2011"
"Physical","Horizon","BOOK","2016","10","1","A dangerous friend / Ward Just.","Just, Ward S.","Vietnam War 1961 1975 Fiction, Vietnam History 1945 1975 Fiction, Americans Vietnam Fiction, Plantation life Fiction, Adventure fiction, Psychological fiction","Houghton Mifflin Co.,","1999."
"Physical","Horizon","SOUNDDISC","2016","10","3","Bridge School benefit [sound recording].",,"Rock music 2011 2020, Popular music 2011 2020","Reprise,","p2011."
"Physical","Horizon","BOOK","2016","10","1","The kingdom on the waves / taken from accounts by his [Octavian Nothing's] own hand and other sundry sources ; collected by M.T. Anderson of Boston.","Anderson, M. T.","African Americans Juvenile fiction, Freedom Fiction, Slavery Juvenile fiction, United States History Revolution 1775 1783 Naval operations British Juvenile fiction, Virginia History Revolution 1775 1783 Juvenile fiction","Candlewick Press,","[2011], c2008."
"Physical","Horizon","BOOK","2016","10","12","How to bake a book / Ella Burfoot.","Burfoot, Ella","Stories in rhyme, Books and reading Fiction, Baking Fiction","Sourcebooks Jabberwocky,","2014."
"Physical","Horizon","BOOK","2016","10","2","We have tornadoes / Linda Crotta Brennan.","Brennan, Linda Crotta","Tornadoes Miscellanea Juvenile literature, Childrens questions and answers","Cherry Lake Publishing,","[2015]"
"Physical","Horizon","VIDEODISC","2016","10","8","Disney's The kid [videorecording] / Walt Disney Pictures ; a Junction Entertainment production ; produced by Jon Turteltaub, Christina Steinberg, Hunt Lowry ; written by Audrey Wells ; directed by Jon Turteltaub.",,"Success Drama, Children Drama, Feature films, Comedy films, Fiction films, Video recordings for the hearing impaired","Walt Disney Home Video : Distributed by Buena Vista Home Entertainment,","[2000?]"
"Physical","Horizon","BOOK","2016","10","3","Something true / Karelia Stetz-Waters.","Stetz-Waters, Karelia.","Lesbians Fiction, Coffee shops Oregon Portland Fiction, Romance fiction","Forever Yours,","2015, c2014."
"Digital","OverDrive","EBOOK","2016","10","1","Accordion Crimes","Annie Proulx","Fiction, Literature","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2016","10","3","Death in Venice, and seven other stories / Thomas Mann ; translated from the German by H.T. Lowe-Porter.","Mann, Thomas, 1875-1955","Aschenbach Gustav von Fictitious character Fiction, Middle age Fiction, Male homosexuality Fiction, Venice Italy Fiction, Short stories, Psychological fiction","Vintage Books,","1989, c1963."
"Physical","Horizon","BOOK","2016","10","1","All that remains / Patricia Cornwell.","Cornwell, Patricia Daniels","Scarpetta Kay Fictitious character Fiction, Medical examiners Law Fiction, Serial murder investigation Virginia Fiction, Forensic pathologists Fiction, Women physicians Fiction, Women detectives Fiction, Serial murders Fiction, Richmond Va Fiction, Mystery fiction","Pocket Star Books,","2009, ©1992."
"Digital","Freegal","SONG","2016","10","1","Elevator Operator","Gene Clark & The Gosdin Brothers",,,
"Physical","Horizon","BOOK","2016","10","3","Agnes Martin : her life and art / Nancy Princenthal.","Princenthal, Nancy","Martin Agnes 1912 2004, Painters United States Biography, Painting Abstract United States","Thames & Hudson,","c2015."
"Digital","Freegal","SONG","2016","10","1","John McLaughlin","Miles Davis",,,
"Physical","Horizon","BOOK","2016","10","18","Paper Towns / John Green.","Green, John, 1977-","Missing persons Fiction, Florida Juvenile fiction, Bildungsromans, Mystery and detective stories","Speak,","2009, c2008."
"Physical","Horizon","BOOK","2016","10","1","Glory in death [text (large print)] / Nora Roberts writing as J.D. Robb.","Robb, J. D., 1950-","Dallas Eve Fictitious character Fiction, Police New York State New York Fiction, Women Crimes against Fiction, New York N Y Fiction, Policewomen Fiction, Women detectives Fiction, Mystery fiction, Large type books","Thorndike Press,","2009."
"Physical","Horizon","BOOK","2016","10","1","AWOL on the Appalachian trail / David Miller.","Miller, David, 1961-","Hiking Appalachian Trail Guidebooks, Appalachian Trail Guidebooks, Appalachian Trail Description and travel, Appalachian Mountains Description and travel","Houghton Mifflin Harcourt,","2011."
"Physical","Horizon","BOOK","2016","10","2","The new codependency : help and guidance for the today's generation / Melody Beattie.","Beattie, Melody","Codependency, Self care Health","Simon & Schuster,","2009."
"Physical","Horizon","BOOK","2016","10","1","My rat / Gerd Ludwig.","Ludwig, Gerd","Rats as pets","Barron's,","c2012."
"Physical","Horizon","BOOK","2016","10","2","One mitten / by Kristine O'Connell George ; illustrated by Maggie Smith.","George, Kristine O'Connell","Mittens Juvenile fiction, Lost and found possessions Fiction, Stories in rhyme Juvenile fiction","Clarion Books,","2004."
"Physical","Horizon","BOOK","2016","10","1","The lost wife / Alyson Richman.","Richman, Alyson","Jews Fiction, World War 1939 1945 Fiction, Marriage Fiction, Prague Czech Republic Fiction, Love stories","Berkley Books,","2011."
"Physical","Horizon","BOOK","2016","10","1","Amber was brave, Essie was smart : the story of Amber and Essie told here in poems and pictures / by Vera B. Williams.","Williams, Vera B.","Sisters Juvenile poetry, Childrens poetry American Juvenile fiction, American poetry Juvenile fiction","Greenwillow Books,","2001."
"Physical","Horizon","BOOK","2016","10","1","Cloud nine / by Caryl Churchill.","Churchill, Caryl",,"S. French,","c1979."
"Physical","Horizon","BOOK","2016","10","2","You are dead / Peter James.","James, Peter, 1948-","Grace Roy Fictitious character Fiction, Police England Brighton Fiction, Women Crimes against Fiction, Serial murder investigation Fiction, Large type books, Mystery fiction, Suspense fiction, Thrillers Fiction","Center Point Large Print,","2016."
"Digital","OverDrive","EBOOK","2016","10","1","Beyond the Burning Lands","John Christopher","Juvenile Fiction","Simon & Schuster, Inc.","2015"
"Digital","Hoopla","TELEVISION","2016","10","3","Latin Dance Mix",,"Health & Fitness","Gaiam",
"Physical","Horizon","BOOK","2016","10","15","Bear sees colors / Karma Wilson ; illustrations by Jane Chapman.","Wilson, Karma","Bears Juvenile fiction, Animals Juvenile fiction, Friendship in children Juvenile fiction, Colors Juvenile fiction, Bears Fiction, Animals Fiction, Friendship Fiction, Color Fiction, Stories in rhyme","Margaret K. McElderry Books,","[2014]"
"Physical","Horizon","BOOK","2016","10","1","Blood and bone / William Lashner.","Lashner, William","Fathers Death Fiction, Lawyers Crimes against Fiction, Murder Investigation Fiction, Mystery fiction","William Morrow,","c2009."
"Physical","Horizon","BOOK","2016","10","5","Who stole Halloween? / Martha Freeman.","Freeman, Martha, 1956-","Cats Juvenile fiction, Kidnapping Juvenile fiction, Ghosts Fiction, Haunted houses Juvenile fiction, Halloween Juvenile fiction, Mystery and detective stories","Holiday House,","c2005."
"Physical","Horizon","BOOK","2016","10","2","No reservations : around the world on an empty stomach / Anthony Bourdain.","Bourdain, Anthony","Bourdain Anthony Travel, Voyages and travels Anecdotes, Tourism and gastronomy, Gastronomy","Bloomsbury,","2007."
"Physical","Horizon","BOOK","2016","10","2","The last little blue envelope / Maureen Johnson.","Johnson, Maureen, 1973-","Voyages and travels Juvenile fiction, Swindlers and swindling Juvenile fiction, Letters Juvenile fiction, Artists Juvenile fiction, Aunts Juvenile fiction, Interpersonal relations Juvenile fiction, Europe Juvenile fiction, Young adult fiction","HarperTeen,","2011."
"Physical","Horizon","BOOK","2016","10","3","Disgraced : a play / Ayad Akhtar.","Akhtar, Ayad","Pakistani Americans Drama, Muslims United States Drama, Islamophobia United States Drama","Back Bay Books,","2013."
"Physical","Horizon","SOUNDDISC","2016","10","2","Third Eye Blind [sound recording]","Third Eye Blind (Musical group)","Rock music 1991 2000","Elektra,","p1997."
"Physical","Horizon","VIDEODISC","2016","10","28","Wreck-It Ralph [videorecording] / Walt Disney Animation Studios ; directed by Rich Moore ; produced by Clark Spencer ; story by Rich Moore, Phil Johnston, Jim Reardon ; screenplay by Phil Johnston, Jennifer Lee.",,"Video game characters Juvenile drama, Arcades Juvenile drama, Heroes Juvenile drama, Feature films, Fiction films, Comedy films, Animated films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Buena Vista Home Entertainment,","[2013]"
"Physical","Horizon","SOUNDDISC","2016","10","1","Made in Medina [sound recording] / Rachid Taha.","Taha, Rachid","Popular music Algeria 2001 2010, Popular music France 2001 2010, Rai Music, World music","Barclay,","p2001."
"Physical","Horizon","BOOK","2016","10","1","The stress response : how dialectical behavior therapy can free you from needless anxiety, worry, anger & other symptoms of stress / Christy Matta.","Matta, Christy","Dialectical behavior therapy, Stress management, Self care Health","New Harbinger Publications,","c2012."
"Physical","Horizon","BOOK","2016","10","4","Bleach. 48, God is dead / story and art by Tite Kubo ; English adaptation, Lance Caselman ; translation, Joe Yamazaki.","Kubo, Tite","Kurosaki Ichigo Fictitious character Comic books strips etc, High school students Comic books strips etc, Supernatural Comic books strips etc, Psychic ability Comic books strips etc, Graphic novels","Viz Media,","2012."
"Digital","OverDrive","EBOOK","2016","10","1","Darker Than Any Shadow: Tai Randolph Mystery Series, Book 2","Tina Whittle","Fiction, Mystery","Poisoned Pen Press","2013"
"Physical","Horizon","MUSIC","2016","10","1","The sol-fa book for chorus and choir ... and everyone else who wants to read music and is not quite sure how to do it [music] / by Carl M. Steubing and Rufus A. Wheeler.","Steubing, Carl M.","Choral singing Instruction and study, Tonic sol fa, Sight singing","Dickson-Wheeler,","c1973."
"Physical","Horizon","VIDEODISC","2016","10","5","Wuthering Heights [videorecording] / the Samuel Goldwyn Company ; screen play by Charles MacArthur and Ben Hecht ; directed by William Wyler ; produced by Samuel Goldwyn.",,"Heathcliff Fictitious character Bront‰ Drama, Foundlings Drama, Triangles Interpersonal relations Drama, Man woman relationships England Yorkshire Drama, Revenge Drama, England Social life and customs 19th century Drama, Fiction films, Feature films, Melodramas Motion pictures, Video recordings for the hearing impaired","Distributed by Warner Home Video,","[2012]"
"Physical","Horizon","BOOK","2016","10","1","How should we live? : great ideas from the past for everyday life / Roman Krznaric.","Krznaric, Roman","Self actualization Psychology, History Social aspects, Experience","BlueBridge,","2013."
"Digital","OverDrive","AUDIOBOOK","2016","10","5","Leap: Leaving a Job with No Plan B to Find the Career and Life You Really Want (unabridged) (Unabridged)","Tess Vigeland","Business, Careers, Nonfiction, Self-Improvement","Blackstone Audio, Inc.","2015"
"Physical","Horizon","VIDEODISC","2016","10","5","The fugitive. The fourth and final season, volume one [videorecording] / CBS Television Distribution.",,"Fugitives from justice Drama, United States marshals Drama, Malicious accusation Drama, Murder Investigation Drama, Television series, Fiction television programs, Thrillers Television programs, Video recordings for the hearing impaired","Paramount,","2010."
"Physical","Horizon","VIDEODISC","2016","10","2","""G"" men [videorecording] / Warner Bros. Pictures Inc. and the Vitaphone Corp. ; a First National picture ; directed by William Keighley ; story & screen play by Seton I. Miller.",,"United States Federal Bureau of Investigation Drama, Dillinger John 1903 1934 Drama, Criminal behavior Drama, Gangster films, Feature films, Fiction films, Video recordings for the hearing impaired","Distributed by Warner Home Video,","[2006]"
"Digital","OverDrive","EBOOK","2016","10","1","Twosomes: Love Poems from the Animal Kingdom","Marilyn Singer","Humor (Fiction), Juvenile Fiction, Picture Book Fiction, Poetry","Random House, Inc.","2011"
"Physical","Horizon","VIDEODISC","2016","10","1","Singh is kinng [videorecording] / an Indian Films worldwide release ; Big Pictures ; Hari Om Entertainment Co. ; Blockbuster Movie Entertainers ; produced by Vipul Amrutlal Shah ; story & screenplay, Anees Bazmee, Suresh Nair ; dialogues, Anees Bazmee, Rakesh Shrivastava, Vipul Binjola, Rishi Vermani ; written & directed by Anees Bazmee.",,"Gangsters Drama, East Indians Australia Drama, Punjab India Drama, Feature films, Fiction films, Comedy films, Motion pictures Hindi","Studio 18 ; Viva Entertainment,","[2008]."
"Physical","Horizon","SOUNDDISC","2016","10","1","The Fats Domino jukebox [sound recording] : 20 greatest hits the way you originally heard them.","Domino, Fats, 1928-","Rhythm and blues music, Rock music To 1961, Rock music 1961 1970","EMI/Capitol Records,","p2002."
"Digital","Freegal","SONG","2016","10","1","Solo Obali","Les Bantous",,,
"Digital","OverDrive","EBOOK","2016","10","1","Rarity and the Curious Case of Charity","G. M. Berrow","Juvenile Fiction, Juvenile Literature","Hachette Digital, Inc.","2015"
"Physical","Horizon","BOOK","2016","10","1","The power of point of view : make your story come to life / Alicia Rasley.","Rasley, Alicia","Fiction Authorship, Point of view Literature","Writer's Digest Books,","c2008."
"Physical","Horizon","BOOK","2016","10","1","The Yucks! : two years in Tampa with the losingest team in NFL history / Jason Vuic.","Vuic, Jason, 1972-","Tampa Bay Buccaneers Football team History 20th century","Simon and Schuster,","2016."
"Digital","Freegal","SONG","2016","10","1","Sookie's Faerie Tale (Original Mix)","The Original Movies Orchestra",,,
"Physical","Horizon","VIDEODISC","2016","10","38","A place to call home. Season 1 [videorecording] / Seven Productions ; series producer, Chris Martin-Jones ; written by Bevan Lee ... [and others] ; directed by Lynne Maree Danzey ... [and others].",,"Nurses Drama, Families Australia Drama, Country life Drama, Man woman relationships Australia Drama, Television series, Fiction television programs, Historical television programs, Television melodramas, Video recordings for the hearing impaired","[Publisher not identified],","[2015]"
"Physical","Horizon","BOOK","2016","10","1","Arata, the legend. 3 / story & art by Yuu Watase ; [English adaptation, Lance Caselman ; translation, JN Productions].","Watase, Yuu, 1970-","Identity Psychology Comic books strips etc, Fantasy comic books strips etc, Graphic novels","Viz Media,","[2010]"
"Physical","Horizon","BOOK","2016","10","5","Deep-sea disaster / by Davy Ocean ; illustrated by Aaron Blecha.","Ocean, Davy","Sharks Juvenile fiction, Individuality Juvenile fiction, School field trips Juvenile fiction, Schools Juvenile fiction, Sharks Fiction, Individuality Fiction, School field trips Fiction, Schools Fiction","Aladdin,","2014."
"Physical","Horizon","BOOK","2016","10","2","Joker one : a Marine platoon's story of courage, leadership, and brotherhood / Donovan Campbell.","Campbell, Donovan","Iraq War 2003 2011 Campaigns Iraq Ramadi, Iraq War 2003 2011 Personal narratives American, Campbell Donovan","Random House,","c2009."
"Physical","Horizon","SOUNDDISC","2016","10","3","Can't get enough / Barry White.","White, Barry, 1944-2003","Popular music 1971 1980","Mercury,","[1996?], p1974."
"Digital","OverDrive","EBOOK","2016","10","5","Dark Orbit","Carolyn Ives Gilman","Fiction, Science Fiction","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2016","10","1","Mischief Season","John Bemelmans Marciano","Juvenile Fiction, Juvenile Literature","Penguin Group (USA), Inc.","2016"
"Physical","Horizon","SOUNDDISC","2016","10","5","Title [sound recording] / Meghan Trainor.","Trainor, Meghan, 1993-","Popular music 2011 2020","Epic,","[2014]"
"Digital","OverDrive","AUDIOBOOK","2016","10","4","Follow Your Gut: The Enormous Impact of Tiny Microbes (unabridged) (Unabridged)","Rob Knight","Health & Fitness, Nonfiction, Science","Simon & Schuster - All Library","2015"
"Physical","Horizon","SOUNDDISC","2016","10","5","The best of Carly Simon / Carly Simon.","Simon, Carly","Popular music 1971 1980","Elektra,","[1984?], p1975."
"Digital","OverDrive","EBOOK","2016","10","1","The Two Minute Rule","Robert Crais","Fiction, Mystery, Suspense, Thriller","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2016","10","2","Zeke Meeks vs. the horrifying TV-Turnoff Week / by D.L. Green ; illustrated by Josh Alves.","Green, D. L. (Debra L.)","Television Juvenile fiction, Recreation Juvenile fiction, Schools Fiction, Humorous stories","Picture Window Books,","2012."
"Physical","Horizon","BOOK","2016","10","34","Frog and toad all year / by Arnold Lobel.","Lobel, Arnold","Friendship Fiction, Frogs Juvenile fiction, Toads Juvenile fiction","Harper & Row,","c1976."
"Physical","Horizon","SOUNDDISC","2016","10","1","Home improvement [sound recording] : undead edition / editors, Charlaine Harris and Toni L.P. Kelner.",,"Dwellings Remodeling Fiction, Occult fiction, Mystery fiction","Brilliance Audio,","p2011."
"Digital","OverDrive","EBOOK","2016","10","2","Winning Miss Wakefield: The Wallflower Wedding Series","Vivienne Lorret","Fiction, Historical Fiction, Romance","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","BOOK","2016","10","10","That's not bunny! / words by Chris Barton ; pictures by Colin Jack.","Barton, Chris","Hawks Juvenile fiction, Birds Food Juvenile fiction, Rabbits Juvenile fiction, Hawks Fiction, Birds Food Fiction, Rabbits Fiction, Humorous stories","Disney Hyperion,","2016."
"Digital","Freegal","SONG","2016","10","1","Shapeless Domination","Monstrosity",,,
"Physical","Horizon","BOOK","2016","10","9","Amelia Bedelia on the job / by Herman Parish ; pictures by Lynne Avril.","Parish, Herman","Amelia Bedelia Fictitious character Juvenile fiction, Occupations Juvenile fiction, Schools Juvenile fiction, Humorous stories","Greenwillow Books, an imprint of HarperCollinsPublishers,","[2016]"
"Physical","Horizon","BOOK","2016","10","5","Maggie's chopsticks / written by Alan Woo ; illustrated by Isabelle Malenfant.","Woo, Alan, 1977-","Chopsticks Juvenile fiction","Kids Can Press,","c2012."
"Physical","Horizon","BOOK","2016","10","1","The potent self : a study of spontaneity and compulsion / Moshe Feldenkrais.","Feldenkrais, Moshé, 1904-1984","Feldenkrais method, Spontaneity Personality trait","Frog : Somatic Resources/Frog Books,","c2002."
"Digital","Freegal","SONG","2016","10","1","Splatt","Cicero",,,
"Digital","OverDrive","EBOOK","2016","10","10","Started Early, Took My Dog: Jackson Brodie Series, Book 4","Kate Atkinson","Fiction, Mystery, Thriller","Hachette Digital, Inc.","2013"
"Physical","Horizon","BOOK","2016","10","1","The pleasure is all mine : selfish food for modern life / Suzanne Pirret.","Pirret, Suzanne","Cooking for one, International cooking","William Morrow,","c2009."
"Digital","OverDrive","AUDIOBOOK","2016","10","2","Agatha Raisin and the Wizard of Evesham: Agatha Raisin Mystery Series, Book 8 (unabridged) (Unabridged)","M. C. Beaton","Fiction, Humor (Fiction), Mystery","Blackstone Audio, Inc.","2013"
"Digital","OverDrive","EBOOK","2016","10","1","The Angel of Highgate","Vaughn Entwistle","Fiction, Mystery, Thriller","Random House, Inc.","2016"
"Physical","Horizon","BOOK","2016","10","6","Meet Cherry Jam! / by Amy Ackelsberg ; illustrated by Laura Thomas.","Ackelsberg, Amy","Strawberry Shortcake Fictitious character Juvenile fiction, Friendship Fiction, Music Juvenile fiction","Grosset & Dunlap,","c2012."
"Physical","Horizon","BOOK","2016","10","1","Showdown : the inside story of how Obama fought back against Boehner, Cantor, and the Tea Party / David Corn.","Corn, David","Obama Barack, Obama Barack Political and social views, United States Politics and government 2009, United States Foreign relations 2009, United States Social policy 1993, Politics Practical United States History 21st century, Political culture United States History 21st century, Political parties United States History 21st century, Presidents United States Biography","William Morrow,","c2012."
"Physical","Horizon","BOOK","2016","10","3","Maira Kalman : various illuminations (of a crazy world) / Ingrid Schaffner ; with contributions by Donna Ghelerter, Stamatina Gregory, and Kenneth E. Silver.","Schaffner, Ingrid","Kalman Maira Exhibitions","Institute of Contemporary Art, University of Pennsylvania ; DelMonico Books/Prestel,","c2010."
"Digital","OverDrive","EBOOK","2016","10","8","Must Love Kilts","Angela Quarles","Fiction, Historical Fiction, Romance","Smashwords, Inc.","2016"
"Physical","Horizon","BOOK","2016","10","2","Prairie day : adapted from the Little house books by Laura Ingalls Wilder / illustrated by Renee Graef.",,"Wilder Laura Ingalls 1867 1957 Juvenile fiction, Frontier and pioneer life Juvenile fiction, Family life Fiction","HarperCollins Publishers,","c1997."
"Digital","Hoopla","MUSIC","2016","10","1","Judy Collins Sings Leonard Cohen: Democracy",,"Folk","Rhino/Elektra",
"Physical","Horizon","SOUNDDISC","2016","10","1","Redeployment / Phil Klay.","Klay, Phil","Afghan War 2001 Fiction, Iraq War 2003 2011 Fiction, Soldiers United States Fiction, War stories, Psychological fiction, Audiobooks","Penguin Audio,","[2014]"
"Physical","Horizon","VIDEODISC","2016","10","2","3D spies of WWII [videorecording] / a BBC/WGBH co-production ; written/produced/directed by Tim Dunn ; executive producer for BBC, Eamon Hardy ; executive producer, Howard Swartz.",,"Aerial observation Military science Germany, World War 1939 1945 Aerial operations, World War 1939 1945 Reconnaissance operations, World War 1939 1945 Military intelligence Germany, Three dimensional imaging, Documentary films, Nonfiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","WGBH Educational Foundation : Distributed by PBS Distribution,","c2012."
"Digital","OverDrive","EBOOK","2016","10","1","Katya's World: Russalka Chronicles, Book 1","Jonathan L. Howard","Juvenile Fiction, Science Fiction","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2016","10","1","The Beauty and the Spy: Spies and Lovers Trilogy, Book 2","Gayle Callen","Fiction, Historical Fiction, Romance","HarperCollins Publishers Inc.","2011"
"Physical","Horizon","BOOK","2016","10","1","La knaboj de Paŭlo-strato / Francisko Molnár ; es la hungara originalo tradukis Ladislao Spierer.","Molnár, Ferenc, 1878-1952",,"Esperanto Pub. Co.,","[193-?]"
"Physical","Horizon","BOOK","2016","10","1","Q is for quantum : an encyclopedia of particle physics / John Gribbin ; edited by Mary Gribbin ; illustrations by Jonathan Gribbin ; timelines by Benjamin Gribbin.","Gribbin, John R.","Particles Nuclear physics Dictionaries, Particles Nuclear physics Popular works","Free Press,","c1998."
"Physical","Horizon","SOUNDDISC","2016","10","4","Captain Fantastic and the brown dirt cowboy [sound recording] / Elton John.","John, Elton","Rock music 1971 1980, Popular music 1971 1980","Rocket Records,","p1995."
"Physical","Horizon","BOOK","2016","10","1","Flavors first : an Indian chef's culinary journey / Vikas Kanna ; [foreword by Gordon Ramsay].","Khanna, Vikas, 1971-","Cooking, Cooking Indic, Cookbooks","Lake Isle Press ; distributed by National Book Network,","c2011."
"Physical","Horizon","BOOK","2016","10","1","Wolf bride / Elizabeth Moss.","Moss, Elizabeth (Novelist)","Great Britain History Henry VIII 1509 1547 Fiction, England Court and courtiers History 16th century Fiction, Historical fiction, Erotic fiction","Sourcebooks Casablanca,","[2015]"
"Digital","OverDrive","EBOOK","2016","10","1","Writing to Wake the Soul: Opening the Sacred Conversation Within","Karen Hering","Language Arts, Nonfiction, Religion & Spirituality","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2016","10","4","'Snot funny / by Nancy Krulik ; illustrated by Aaron Blecha.","Krulik, Nancy E.","School field trips Fiction, Winter sports Fiction, Snowboarding Fiction, Sick Fiction, Humorous stories, Magic Fiction","Grosset & Dunlap,","[2015]"
"Physical","Horizon","BOOK","2016","10","3","The galactic B.U.R.P. / by Wendy Mass and Michael Brawer ; illustrations by Keith Frawley ; based on the art of Elise Gravel.","Mass, Wendy, 1967-","Spies Fiction, Criminals Fiction, Rare plants Fiction, Interplanetary voyages Fiction, Adventure and adventurers Fiction, Fathers and sons Fiction, Science fiction, Criminals Juvenile fiction, Rare plants Juvenile fiction, Interplanetary voyages Juvenile fiction, Fathers and sons Juvenile fiction","Little, Brown and Company,","2015."
"Digital","Freegal","SONG","2016","10","1","We Had It All","Waylon Jennings",,,
"Physical","Horizon","SOUNDDISC","2016","10","1","It was triumph we once proposed-- [sound recording] : songs of Jason Molina / Glen Hansard.","Hansard, Glen, 1970-","Rock music 2011 2020","Overcoat Recordings,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2016","10","2","A Woman of Independent Means (Unabridged)","Elizabeth Forsythe Hailey","Classic Literature, Fiction","Phoenix Books, Inc.","2009"
"Physical","Horizon","VIDEODISC","2016","10","9","Peru [videorecording] / Pilot Film and TV Productions Ltd. ; producer, Maire Devine ; director, Phil Stebbing.",,"Peru Description and travel","Escapi New Media Studio,","[2004]"
"Physical","Horizon","BOOK","2016","10","1","As time goes by : the life of Ingrid Bergman / Laurence Leamer.","Leamer, Laurence","Bergman Ingrid 1915 1982, Actors Sweden Biography","Harper & Row,","c1986."
"Physical","Horizon","VIDEODISC","2016","10","3","Naruto shippūden. DVD set fifteen [videorecording] / animation production, Studio Pierrot ; scripts, Masahiro Hikokubo ; series director, Hayato Date ; English production by Viz Media LLC.",,"Ninja Drama, Martial arts Drama, Heroes Drama, Villages Japan Drama, Anime Japan, Fantasy television programs, Action and adventure television programs, Fiction television programs","Viz Media : Shonen Jump Home Video ; distributed by Warner Home Video,","[2013]"
"Digital","Hoopla","MOVIE","2016","10","1","Dear Santa",,"Indie","Gravitas Ventures",
"Physical","Horizon","BOOK","2016","10","1","The Wayside Motor Inn / by A. R. Gurney.","Gurney, A. R. (Albert Ramsdell), 1930-",,"Dramatists Play Service,","c1978."
"Physical","Horizon","BOOK","2016","10","1","The wonderful thing about hiccups / by Cece Meng ; illustrated by Janet Pedersen.","Meng, Cece","Books and reading Juvenile fiction, Hippopotamus Juvenile fiction, Sisters Juvenile fiction, Hiccups Juvenile fiction, Humorous stories","Clarion Books,","c2007."
"Physical","Horizon","SOUNDDISC","2016","10","2","The best of the Temptations. Volume 1, The '60s [sound recording].","Temptations (Musical group)","Popular music 1961 1970","Motown,","p1999."
"Digital","Freegal","SONG","2016","10","1","My Funny Valentine","Chris Botti featuring Sting",,,
"Physical","Horizon","VIDEODISC","2016","10","8","Prime suspect. Series 6 [videorecording] / a co-production of Granada Television and WGBH Boston ; produced by David Boulter ; written by Peter Berry ; directed by Tom Hooper.",,"Tennison Jane Fictitious character Drama, Police England London Drama, Murder Investigation England Drama, Murderers England London Drama, Women detectives England London Drama, Criminal investigation England Drama, Women alcoholics England Drama, England Drama, Television series, Detective and mystery television programs Great Britain, Television cop shows, Video recordings for the hearing impaired, Fiction television programs, Detective and mystery television programs","Acorn Media,","2010."
"Digital","OverDrive","EBOOK","2016","10","5","An Unnecessary Woman","Rabih Alameddine","Fiction, Literature","Lightning Source Inc","2015"
"Digital","Hoopla","TELEVISION","2016","10","1","Biodiversity",,"Documentary","Société Européenne de Production",
"Physical","Horizon","VIDEODISC","2016","10","1","Batman begins [videorecording] / Warner Bros. Pictures presents in association with Legendary Pictures, a Syncopy production ; produced by Emma Thomas, Charles Roven, Larry Franco ; story by David S. Goyer ; screenplay by Christopher Nolan and David S. Goyer ; directed by Christopher Nolan.",,"Batman Fictitious character Drama, Organized crime Drama, Feature films, Superhero films, Video recordings for the hearing impaired","Warner Home Video,","c2005."
"Digital","Freegal","SONG","2016","10","1","The Brass Are Comin'","Herb Alpert & The Tijuana Brass",,,
"Physical","Horizon","VIDEODISC","2016","10","1","The green years [videorecording] / a Metro-Goldwyn-Mayer picture ; produced by Loew's Incorporated ; screen play by Robert Ardrey and Sonya Levien ; directed by Victor Saville ; produced by Leon Gordon.",,"Orphans Drama, Grandparent and child Drama, Families Drama, Scotland Drama, Feature films, Coming of age films, Fiction films","Warner Home Video,","2011."
"Digital","Freegal","SONG","2016","10","1","White Rock (Live)","Rick Wakeman",,,
"Digital","OverDrive","EBOOK","2016","10","1","I Once Was a Monkey: Stories Buddha Told","Jeanne M. Lee","Mythology","Macmillan Publishers","2016"
"Digital","Freegal","SONG","2016","10","1","Across the Borderline","Willie Nelson",,,
"Digital","Freegal","SONG","2016","10","1","Bemsha Swing","Thelonious Monk Quintet",,,
"Digital","OverDrive","EBOOK","2016","10","1","Kink","Saskia Walker","Fiction, Romance","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","BOOK","2016","10","1","The wolf at the door / Jack Higgins.","Higgins, Jack, 1929-","Dillon Sean Fictitious character Fiction, Ferguson Charles Fictitious character Fiction, Secret service Fiction, Assassins Fiction, England Fiction, Suspense fiction, Spy stories","G.P. Putnam's Sons,","c2010."
